[2026-06-09T05:40:42.101Z] romance-spa-ya-nonfic.csv: genre=Nonfiction, rows=5, rowLimitHit=no, fileBookLimit=64, added=4, skippedByFileBookLimit=0, duplicates=1, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3836
[2026-06-09T05:40:42.103Z] scifi-eng-gen-nonfic.csv: genre=Nonfiction, rows=56, rowLimitHit=no, fileBookLimit=64, added=50, skippedByFileBookLimit=0, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=4, rejected=0, totalBooks=3886
[2026-06-09T05:40:42.104Z] scifi-eng-ya-nonfic.csv: genre=Nonfiction, rows=28, rowLimitHit=no, fileBookLimit=64, added=20, skippedByFileBookLimit=0, duplicates=6, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=3906
[2026-06-09T05:40:42.122Z] Import complete: processed=77, rows=8243, added=3906, duplicates=942, totalBooks=3906, capReached=false
[2026-06-09T05:43:31.070Z] Import start: reset=true, balanced=true, maxFiles=78, maxRowsPerFile=150, maxBooks=5000, existingRead=3906, existingLoaded=0, existingSkippedForCap=0, candidates=77, skippedByProgress=0
[2026-06-09T05:43:31.078Z] mystery-eng-gen-fic.csv: genre=Mystery, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=83, duplicates=65, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=65
[2026-06-09T05:43:31.081Z] fantasy-eng-gen-fic.csv: genre=Fantasy, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=50, duplicates=65, digitalSkipped=0, missingTitle=0, missingAuthor=35, rejected=0, totalBooks=130
[2026-06-09T05:43:31.084Z] romance-eng-gen-fic.csv: genre=Romance, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=72, duplicates=65, digitalSkipped=0, missingTitle=0, missingAuthor=13, rejected=0, totalBooks=195
[2026-06-09T05:43:31.087Z] adventure-eng-gen-fic.csv: genre=Adventure, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=83, duplicates=66, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=260
[2026-06-09T05:43:31.090Z] scifi-eng-gen-fic.csv: genre=Science Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=66, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=325
[2026-06-09T05:43:31.092Z] horror-eng-gen-fic.csv: genre=Horror, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=56, duplicates=67, digitalSkipped=0, missingTitle=0, missingAuthor=27, rejected=0, totalBooks=390
[2026-06-09T05:43:31.094Z] historical-eng-gen-fic.csv: genre=Historical Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=77, duplicates=65, digitalSkipped=0, missingTitle=0, missingAuthor=8, rejected=0, totalBooks=455
[2026-06-09T05:43:31.099Z] crime-eng-gen-fic.csv: genre=Crime, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=65, duplicates=67, digitalSkipped=0, missingTitle=0, missingAuthor=18, rejected=0, totalBooks=520
[2026-06-09T05:43:31.102Z] biography-eng-gen-fic.csv: genre=Biography, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=80, duplicates=68, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=585
[2026-06-09T05:43:31.108Z] drama-eng-gen-fic.csv: genre=Drama, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=67, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=650
[2026-06-09T05:43:31.110Z] adventure-eng-gen-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=77, duplicates=65, digitalSkipped=0, missingTitle=0, missingAuthor=8, rejected=0, totalBooks=715
[2026-06-09T05:43:31.112Z] mystery-eng-ya-fic.csv: genre=Mystery, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=79, duplicates=68, digitalSkipped=0, missingTitle=0, missingAuthor=3, rejected=0, totalBooks=780
[2026-06-09T05:43:31.115Z] fantasy-eng-ya-fic.csv: genre=Fantasy, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=81, duplicates=66, digitalSkipped=0, missingTitle=0, missingAuthor=3, rejected=0, totalBooks=845
[2026-06-09T05:43:31.117Z] romance-eng-ya-fic.csv: genre=Romance, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=83, duplicates=66, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=910
[2026-06-09T05:43:31.120Z] adventure-eng-ya-fic.csv: genre=Adventure, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=62, duplicates=79, digitalSkipped=0, missingTitle=0, missingAuthor=9, rejected=0, totalBooks=975
[2026-06-09T05:43:31.126Z] scifi-eng-ya-fic.csv: genre=Science Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=73, duplicates=75, digitalSkipped=1, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=1040
